orderid,fooditem,quantity
O101,whole eggs,1
O102,leafy greens,2
O103,salmon,3
O104,vegetable salad,4
O105,beef,5
O106,chicken breast,7
O107,potatoes,6
O108,beans,8
O109,legumes,9
O110,soups,1
O111,cottage cheese,2
O112,avocados,3
O113,apple cider vinegar,4
O114,green tea,5
O115,nuts,7
O116,whole grains,6
O117,chilli pepper,8
O118,grape fruit,9
O119,chia seeds,1
O120,yogurt,2
O121,whole eggs,3
O122,leafy greens,4
O123,salmon,5
O124,vegetable salad,7
O125,beef,6
O126,chicken breast,8
O127,potatoes,9
O128,beans,1
O129,legumes,2
O130,soups,3
O131,cottage cheese,4
O132,avocados,5
O133,apple cider vinegar,7
O134,green tea,6
O135,nuts,8
O136,whole grains,9
O137,chilli pepper,1
O138,grape fruit,2
O139,chia seeds,3
O140,yogurt,4
O141,whole eggs,5
O142,leafy greens,7
O143,salmon,6
O144,vegetable salad,8
O145,beef,9
O146,chicken breast,1
O147,potatoes,2
O148,beans,3
O149,legumes,4
O150,soups,5
O151,cottage cheese,7
O152,avocados,6
O153,apple cider vinegar,8
O154,green tea,9
O155,nuts,1
O156,whole grains,2
O157,chilli pepper,3
O158,grape fruit,4
O159,chia seeds,5
O160,yogurt,7
O161,whole eggs,6
O162,leafy greens,8
O163,salmon,9
O164,vegetable salad,1
O165,beef,2
O166,chicken breast,3
O167,potatoes,4
O168,beans,5
O169,legumes,7
O170,soups,6
O171,cottage cheese,8
O172,avocados,9
O173,apple cider vinegar,1
O174,green tea,2
O175,nuts,3
O176,whole grains,4
O177,chilli pepper,5
O178,grape fruit,7
O179,chia seeds,6
O180,yogurt,8
O181,whole eggs,9
O182,leafy greens,1
O183,salmon,2
O184,vegetable salad,3
O185,beef,4
O186,chicken breast,5
O187,potatoes,7
O188,beans,6
O189,legumes,8
O190,whole eggs,9
O191,leafy greens,1
O192,salmon,2
O193,vegetable salad,3
O194,beef,4
O195,chicken breast,5
O196,potatoes,7
O197,beans,6
O198,legumes,8
O199,soups,9
O200,cottage cheese,1
O201,avocados,1
O202,apple cider vinegar,2
O203,green tea,3
O204,nuts,4
O205,whole grains,5
O206,chilli pepper,7
O207,grape fruit,6
O208,chia seeds,8
O209,yogurt,9
O210,whole eggs,1
O211,leafy greens,2
O212,salmon,3
O213,vegetable salad,4
O214,beef,5
O215,chicken breast,7
O216,potatoes,6
O217,beans,8
O218,legumes,9
O219,soups,1
O220,cottage cheese,2
O221,avocados,3
O222,apple cider vinegar,4
O223,green tea,5
O224,nuts,7
O225,whole grains,6
O226,chilli pepper,8
O227,grape fruit,9
O228,chia seeds,1
O229,yogurt,2
O230,whole eggs,3
O231,leafy greens,4
O232,salmon,5
O233,vegetable salad,7
O234,beef,6
O235,chicken breast,8
O236,potatoes,9
O237,beans,1
O238,legumes,2
O239,soups,3
O240,cottage cheese,4
O241,avocados,5
O242,apple cider vinegar,7
O243,green tea,6
O244,nuts,8
O245,whole grains,9
O246,chilli pepper,1
O247,grape fruit,2
O248,chia seeds,3
O249,yogurt,4
O250,whole eggs,5
O251,leafy greens,7
O252,salmon,6
O253,vegetable salad,8
O254,beef,9
O255,chicken breast,1
O256,potatoes,2
O257,beans,3
O258,legumes,4
O259,soups,5
O260,cottage cheese,7
O261,avocados,6
O262,apple cider vinegar,8
O263,green tea,9
O264,nuts,1
O265,whole grains,2
